АООТ|акционерное общество открытого типа
АОР|архив Октябрьской революции
АТД|административно-территориальное деление
АФ|архивный фонд
БД|база данных
БУ|бюджетное учреждение
ВАПП|Всероссийская ассоциация пролетарских писателей
ВНИИБ|Всероссийский научно-исследовательский институт целлюлозно-бумажной промышленности
ВНИИДАД|Всероссийский научно-исследовательский институт документоведения и архивного дела
ВО|Воронежская область, Владимирская область
ВОИ|Всероссийское общество инвалидов
ВЦИК|Всероссийский центральный исполнительный комитет
ГАБО|Государственный архив Брянской области
ГАГО|Государственный архив Гомельской области
ГАКО|Государственный архив Калужской области
ГАОО|Государственный архив Орловской области
ГАОРСС|Государственный архив Октябрьской революции и социалистического строительства
ГАРФ|Государственный архив Российской Федерации
ГАСО|Государственный архив Смоленской области
ГАУ|Главное архивное управление
ГАУРО|Главное архивное управление Рязанской области
ГАУТО|Государственное архивное учреждение Тульской области
ГБУ|Государственное бюджетное управление
ГДР|Германская демократическая республика
ГКУ|государственное казенное учреждение
ГОСТ|государственный стандарт
ГРЭС|государственная районная электростанция
ГУ|государственное учреждение
ЕКДИ|Единый классификатор документной информации Архивного фонда России
ЗАГС|отдел записи актов гражданского состояния
ЗАО|закрытое акционерное общество
ИОПД|отдел истории общественно-политических движений
КГУАК|Костромская губернская учетная комиссия
КНОИМК|Костромское научное общество по изучению местного края
КО|Калужская область
КПРФ|Коммунистическая партия Российской Федерации
КПСС|Коммунистическая партия Советского Союза
КУ|казенное учреждение
ЛДПР|Либерально-демократическая партия России
МВД|Министерство внутренних дел
МВО|Московский военный округ
МВРК|Московский военно-революционный комитет
МО|Московская область
МОНО|Московский отдел народного образования
МСНХ|Московский совет народного хозяйства
МТС|моторно-тракторная станция
МФЦ|Многофункциональный центр предоставления государственных и муниципальных услуг
НИР|научно-исследовательская работа
НК|народный комиссариат
НКВД|Наркомат внутренних дел
НКПС|Наркомат путей сообщения
НМС|Научно-методический совет
НСА|научно-справочный аппарат
НСБ|научно-справочная библиотека
НЭП|новая экономическая политика
ОАО|открытое акционерное общество
ОГБУ|областное государственное бюджетное учреждение
ОГУ|областное государственное учреждение
ОЗ|областной закон
ОКУ|областное казенное учреждение
ОЦД|особо ценный документ
ПК|персональный компьютер
РАН|Российская академия наук
РГАДА|Российский государственный архив древних актов
РГАСПИ|Российский государственный архив социально-политической истории
РГАЭ|Российский государственный архив экономики
РККА|Рабоче-Крестьянская Красная Армия
РО|Рязанская область
РОИА|Российское общество историков-архивистов
РС|ревизские сказки
РСДРП|Российская социал-демократическая рабочая партия
РСФСР|Российская Советская Федеративная Социалистическая Республика
РФ|Российская Федерация
СИФ|справочно-информационный фонд
СМ|Совет Министров
СМИ|средства массовой информации
СНК|Совет Народных Комиссаров
СО|Смоленская область
СССР|Союз Советских Социалистических Республик
ТО|Тульская область
ТОГУ|Тамбовское областное государственное учреждение
ФЗ|федеральный закон
ФИО|фамилия, имя, отчество
ФЦП|Федеральная целевая программа
ЦА|Центральный архив
ЦАГМ|Центральный архив города Москвы
ЦГА|Центральный государственный архив
ЦГАМО|Центральный государственный архив Московской области
ЦГАНХ|Центральный государственный архив народного хозяйства
ЦГИА|Центральный государственный исторический архив
ЦДНИ|Центр документации новейшей истории
ЦК|Центральный Комитет
ЦС|Центральный совет
ЦФО|Центральный федеральный округ
ЦЧО|Центрально-Черноземная область
ЦЭПК|Центральная экспертно-проверочная комиссия
ЭК|экспертная комиссия
ЭМК|экспертно-методическая комиссия
ЭПК|экспертно-проверочная комиссия
ЭПМК|экспертно-проверочная методическая комиссия
ЭЦП|электронная цифровая подпись
ЯО|Ярославская область
